Date,Open,High,Low,Close,Volume,Adj Close
2000-10-27,461.228,461.228,461.228,461.228,1000000,461.228
2000-10-28,457.57,457.57,457.57,457.57,1000000,457.57
2000-10-29,456.19,456.19,456.19,456.19,1000000,456.19
2000-10-30,456.9,456.9,456.9,456.9,1000000,456.9
2000-10-31,461.96,461.96,461.96,461.96,1000000,461.96
2000-11-01,460.676,460.676,460.676,460.676,1000000,460.676
2000-11-02,460.0,460.0,460.0,460.0,1000000,460.0
2000-11-03,457.076,457.076,457.076,457.076,1000000,457.076
2000-11-04,460.46,460.46,460.46,460.46,1000000,460.46
2000-11-05,460.474,460.474,460.474,460.474,1000000,460.474
2000-11-06,461.854,461.854,461.854,461.854,1000000,461.854
2000-11-07,465.072,465.072,465.072,465.072,1000000,465.072
2000-11-08,466.699,466.699,466.699,466.699,1000000,466.699
2000-11-09,467.999,467.999,467.999,467.999,1000000,467.999
2000-11-10,460.978,460.978,460.978,460.978,1000000,460.978
2000-11-11,459.853,459.853,459.853,459.853,1000000,459.853
2000-11-12,458.639,458.639,458.639,458.639,1000000,458.639
2000-11-13,457.0,457.0,457.0,457.0,1000000,457.0
2000-11-14,461.29,461.29,461.29,461.29,1000000,461.29
2000-11-15,465.41,465.41,465.41,465.41,1000000,465.41
2000-11-16,466.999,466.999,466.999,466.999,1000000,466.999
2000-11-17,464.014,464.014,464.014,464.014,1000000,464.014
2000-11-18,465.5,465.5,465.5,465.5,1000000,465.5
2000-11-19,466.166,466.166,466.166,466.166,1000000,466.166
2000-11-20,466.113,466.113,466.113,466.113,1000000,466.113
2000-11-21,465.76,465.76,465.76,465.76,1000000,465.76
2000-11-22,467.565,467.565,467.565,467.565,1000000,467.565
2000-11-23,465.786,465.786,465.786,465.786,1000000,465.786
2000-11-24,467.29,467.29,467.29,467.29,1000000,467.29
2000-11-25,467.011,467.011,467.011,467.011,1000000,467.011
2000-11-26,467.0,467.0,467.0,467.0,1000000,467.0
2000-11-27,467.0,467.0,467.0,467.0,1000000,467.0
2000-11-28,465.76,465.76,465.76,465.76,1000000,465.76
2000-11-29,465.0,465.0,465.0,465.0,1000000,465.0
2000-11-30,464.851,464.851,464.851,464.851,1000000,464.851
2000-12-01,464.011,464.011,464.011,464.011,1000000,464.011
2000-12-02,465.247,465.247,465.247,465.247,1000000,465.247
2000-12-03,465.25,465.25,465.25,465.25,1000000,465.25
2000-12-04,465.248,465.248,465.248,465.248,1000000,465.248
2000-12-05,465.248,465.248,465.248,465.248,1000000,465.248
2000-12-06,466.99,466.99,466.99,466.99,1000000,466.99
2000-12-07,466.5,466.5,466.5,466.5,1000000,466.5
2000-12-08,466.0,466.0,466.0,466.0,1000000,466.0
2000-12-09,465.247,465.247,465.247,465.247,1000000,465.247
